Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
"Marketing, Advertising & PR",Sr Analytic Consultant,84387,0,USA,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man,White
"Accounting, Banking & Finance",Principal Consultant ,85949,3906,USA,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),"Assistant director, communications",64853,0,USA,Flagstaff,11 - 20 years,5-7 years,Master's degree,Woman,White
Engineering or Manufacturing,Geostructural Design Engineer,85949,10939,USA,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Education (Higher Education),Student Success Center Coordinator,35161,0,USA,Carlinville,5-7 years,5-7 years,Master's degree,Woman,White
Government and Public Administration,Editor,71104,1562,USA,Washington,11 - 20 years,5-7 years,PhD,Woman,White
Engineering or Manufacturing,QC Chemistry Manager,91419,13712,USA,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Insurance,Supervisor ,46100,5469,USA,"Omaha, NE",21 - 30 years,21 - 30 years,Some college,Woman,White
Education (Higher Education),Research administrator ,56021,0,USA,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Director of Alumni Communications,93763,0,USA,Western Mass,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Admin Assistant,40630,0,USA,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin"
Property or Construction,Administrator,36907,0,Uganda,Calgary,8 - 10 years,8 - 10 years,Some college,Woman,White
Transport or Logistics,Executive Administrator ,62509,3906,USA,New York ,21 - 30 years,21 - 30 years,High School,Woman,White
Transport or Logistics,HR Business Partner,43756,0,USA,Joliet,8 - 10 years,5-7 years,Some college,Woman,White
Engineering or Manufacturing,Product Support Representative,37380,1562,USA,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,"Asian or Asian American, White"
Computing or Tech,Senior Manager of Customer Enablement,117204,0,USA,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Equity Analyst,78136,3906,USA,NYC,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Engineering or Manufacturing,Project Manager-Tech Lead,76182,6250,USA,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
"Accounting, Banking & Finance",Operations,78136,39068,USA,Dallas,5-7 years,5-7 years,College degree,Man,White
Health care,Senior Project Specialist,97670,0,USA,Salem,21 - 30 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Public Library Director,49225,0,USA,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Sales,Business Development Manager ,50000,50000,UK,Remote (live in Nottingham),8 - 10 years,5-7 years,College degree,Woman,White
Government and Public Administration,Economist,85168,2344,USA,Suitland,5-7 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Associate professor,54000,0,UK,London,21 - 30 years,21 - 30 years,PhD,Woman,White
Media & Digital,editor,93763,0,USA,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
Education (Higher Education),HR Adviser,40613,0,UK,London,8 - 10 years,5-7 years,College degree,Woman,White
Education (Higher Education),Event Officer,34806,0,Uganda,Winnipeg,5-7 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Office Administrator,34806,0,Uganda,Toronto,8 - 10 years,5-7 years,Some college,Woman,White
"Accounting, Banking & Finance",Accountant ,35161,0,USA,Indianapolis ,1 year or less,1 year or less,College degree,Woman,White
Government and Public Administration,Senior Director of Public Policy,54695,3906,USA,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Recruitment or HR,Talent Management Manager,89856,0,USA,Boston,5-7 years,5-7 years,College degree,Man,White
Transport or Logistics,Internal Communications Executive ,28110,0,Ireland,Dublin,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Agriculture or Forestry,Research assistant,13283,0,USA,North East,11 - 20 years,5-7 years,Master's degree,Non-binary,White
Government and Public Administration,Analyst ,50007,0,USA,Baltimore ,5-7 years,1 year or less,College degree,Woman,Black or African American
Property or Construction,Accounting Manager,51569,0,USA,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman,White
Engineering or Manufacturing,Quality Manager ,62509,3125,USA,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman,White
Government and Public Administration,Policy Analyst,60946,0,USA,NYC,5-7 years,2 - 4 years,Master's degree,Woman,White
Law,Attorney,50788,3906,USA,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Health care,RN,85949,7813,USA,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Bookkeeper self-employed,89387,0,USA,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman,White
Recruitment or HR,Senior Recruiter,87121,0,USA,Idaho Falls,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Assistant Director of Undergraduate Admissions,45553,0,USA,Washington,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Agile Coach,101577,10157,USA,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Librarian ,39000,0,UK,London,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,principle product marketing manager,98451,11720,USA,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Sr. Environmental Manager,97670,2734,USA,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Man,White
Education (Higher Education),Executive Office & Admin Specialist,30066,0,USA,Duluth,11 - 20 years,5-7 years,College degree,Woman,White
Nonprofits,Early Intervention developmental specialist,28129,781,USA,South Hadley,11 - 20 years,2 - 4 years,Master's degree,Man,White
Nonprofits,Grants coordinator,42974,0,USA,New York ,8 - 10 years,2 - 4 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Account Executive,41802,0,USA,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Youth Services Librarian,38755,0,USA,DFW area,8 - 10 years,2 - 4 years,Master's degree,Woman,"Asian or Asian American, White"
Nonprofits,Associate Director of Annual Giving,39068,0,USA,Atlanta,8 - 10 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Cash Logistics Manager,45123,4492,USA,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Social Work,Social Worker / Child Development Specialist,48444,0,USA,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Nonprofits,Legislative Analyst,50788,0,USA,Sacramento,8 - 10 years,5-7 years,College degree,Woman,White
Health care,Medical Receptionist,34129,0,USA,North Andover,5-7 years,2 - 4 years,College degree,Woman,White
Transport or Logistics,Technology Senior Business Analyst,80480,1562,USA,Dallas,5-7 years,5-7 years,College degree,Woman,White
Education (Primary/Secondary),Principal Teacher,51000,0,UK,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
Nonprofits,Senior Marketing Specialist,50788,2109,USA,Bellevue,8 - 10 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,Assistant Archivist,25000,1000,UK,Glasgow,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Government and Public Administration,Strategic Advisor,55810,0,Uganda,Ottawa,8 - 10 years,8 - 10 years,College degree,Woman,White
Education (Primary/Secondary),High School counselor ,58602,0,USA,Suwanee ,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Nonprofits,Service Manager ,34500,0,UK,Glasgow,11 - 20 years,11 - 20 years,College degree,Woman,White
"Marketing, Advertising & PR",Developer,56648,2344,USA,Chicago,5-7 years,1 year or less,College degree,Woman,White
Agriculture or Forestry,"Group Leader, Crop Protection Environmental and Human Safety",67197,1172,USA,Raleigh,11 - 20 years,5-7 years,College degree,Woman,White
Property or Construction,Energy Specialist,58602,3906,USA,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
Media & Digital,Editor (Books),29691,0,USA,Salem,8 - 10 years,8 - 10 years,College degree,Woman,White
Social Work,Medical Social Worker,49225,0,USA,Chicago,8 - 10 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Payroll Manager,82043,0,USA,Fairfield,11 - 20 years,11 - 20 years,College degree,Woman,White
Property or Construction,Shop Coordinator,41412,4688,USA,Orlando,21 - 30 years,8 - 10 years,High School,Woman,White
Computing or Tech,Senior user experience researcher,139863,101577,USA,New York city,11 - 20 years,8 - 10 years,PhD,Woman,White
"Marketing, Advertising & PR",Freelance content writer/copy editor,60164,0,USA,Manchester,21 - 30 years,5-7 years,College degree,Woman,White
Media & Digital,Production Editor ,42974,0,USA,New York ,11 - 20 years,11 - 20 years,College degree,Woman,White
Health care,Account Manager,33989,0,USA,Pittsburgh,21 - 30 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Engineer,71885,1562,USA,DFW,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Government and Public Administration,Assistant General Counsel,132831,2344,USA,DC,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Health care,Pharmacist,97670,390,USA,Pittsburgh,5-7 years,5-7 years,PhD,Woman,White
Computing or Tech,Technical Associate,36007,3600,Uganda,Toronto,1 year or less,1 year or less,College degree,Woman,White
"Accounting, Banking & Finance","IT Director, Project Management ",145333,0,USA,Cherry Hill,31 - 40 years,31 - 40 years,College degree,Man,White
Sales,Administrative Assistant,29405,0,Uganda,Montreal,21 - 30 years,11 - 20 years,Some college,Woman,White
Media & Digital,Production Editor,39849,0,USA,New York,5-7 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Staff Accountant,48288,781,USA,Cleveland,8 - 10 years,5-7 years,College degree,Man,White
"Accounting, Banking & Finance","SVP, risk management",121111,24222,USA,Fully Remote (Greater Boston),8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
Art & Design,Product Coordinator,31254,156,USA,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Higher Education),Statistical Analyst,56062,0,USA,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,Sales Account Manager,54695,0,USA,Milwaukee,8 - 10 years,2 - 4 years,Master's degree,Man,Asian or Asian American
Business or Consulting,Managing Consultant,67978,0,USA,St. Paul,21 - 30 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Program Manager,122673,0,USA,Denver,21 - 30 years,21 - 30 years,College degree,Woman,White
Nonprofits,Senior research assistant,32911,0,USA,East Hanover,2 - 4 years,2 - 4 years,College degree,Woman,White
Business or Consulting,Research Associate,50788,3906,USA,District of Columbia,5-7 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Community Support Manager,66415,0,USA,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Man,White
Computing or Tech,Junior Project Manager,67197,2344,USA,Denver,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Business Analyst,66415,5469,USA,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Primary/Secondary),teacher,73448,0,USA,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
Computing or Tech,Software Development Project Manager,81261,0,USA,New Orleans,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Computing or Tech,Human Resources Manager,68759,6875,USA,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Program Assistant ,40630,0,USA,Citrus Heights,11 - 20 years,8 - 10 years,Some college,Woman,White
Computing or Tech,Programmer Analyst 2,50788,2344,USA,Jefferson City,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Sr development Manager,136738,136738,USA,Denver,21 - 30 years,11 - 20 years,College degree,Man,White
Business or Consulting,Consultant,104702,2344,USA,Portland,8 - 10 years,5-7 years,Master's degree,Woman,White
Hospitality & Events,Controller,76964,7813,USA,Naples,21 - 30 years,21 - 30 years,College degree,Woman,White
Health care,Registered behavior technician ,33598,0,USA,San Diego ,8 - 10 years,5-7 years,Some college,Woman,White
Nonprofits,Office Administrator ,28685,0,USA,Bellevue,11 - 20 years,5-7 years,Some college,Woman,White
Computing or Tech,Software Engineer,87512,0,USA,Melbourne,11 - 20 years,8 - 10 years,College degree,Woman,White
Health care,Speech-Language Pathologist,46881,0,USA,Medina,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Law,Transcriptionist,39068,0,USA,Minneapolis,11 - 20 years,2 - 4 years,High School,Woman,White
Government and Public Administration,Disease Intervention Specialist,40630,0,USA,Prefer not to say (Montana is small!),2 - 4 years,1 year or less,College degree,Woman,White
Government and Public Administration,Lead Planner,44537,0,USA,El Paso,5-7 years,2 - 4 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Internal Auditor ,39849,1172,USA,Lexington ,5-7 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",CPA,42193,0,USA,La Crosse,5-7 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Director of Distance Education,43756,0,USA,Springfield,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Education (Higher Education),Assistant Professor,43756,6250,USA,Milwaukee,2 - 4 years,5-7 years,PhD,Woman,White
Nonprofits,Program Coordinator,30473,0,USA,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Billing & Accounts Receivable Coordinator ,31254,1562,USA,Canton,8 - 10 years,2 - 4 years,College degree,Woman,White
Law,Paralegal,42908,900,Uganda,Toronto,8 - 10 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Branch Manager,50788,2344,USA,Richardson,11 - 20 years,11 - 20 years,Some college,Woman,White
Government and Public Administration,program analyst,98451,781,USA,DC,8 - 10 years,8 - 10 years,College degree,Woman,White
Business or Consulting,Planning analyst,58602,23440,USA,Panhandle region,5-7 years,5-7 years,Master's degree,Woman,White
Health care,Clinical Pharmacist ,114078,0,USA,Boston ,11 - 20 years,11 - 20 years,PhD,Woman,White
Engineering or Manufacturing,Senior Engineer,78136,1953,USA,Golden,8 - 10 years,8 - 10 years,PhD,Woman,White
Property or Construction,Project Manager,40630,4688,USA,Charleston,11 - 20 years,5-7 years,High School,Woman,White
"Accounting, Banking & Finance",Senior Associate,105484,3906,USA,"Washington, DC",8 - 10 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Technical Project Manager,102358,10939,USA,Bay Area,8 - 10 years,5-7 years,College degree,Woman,White
Media & Digital,Special Projects Manager,50007,1562,USA,New York ,21 - 30 years,5-7 years,Master's degree,Woman,White
Business or Consulting,Senior employee communications specialist,48288,0,USA,Des Moines,5-7 years,5-7 years,College degree,Woman,White
Law Enforcement & Security,Library Assistant,38286,781,USA,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
"Leisure, Sport & Tourism",Administrator,26698,0,Ireland,Dublin,21 - 30 years,11 - 20 years,Some college,Woman,White
Nonprofits,Financial Administrator,39068,0,USA,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
